text,category,emotion,urgency
楼道堆满杂物，影响通行且存在消防隐患,安全治理,抱怨,中
物业及时清理暴雨后积水，保障居民出行安全,环境卫生,表扬,低
垃圾分类点异味严重，夏季尤为刺鼻,环境卫生,抱怨,中
小区儿童游乐设施破损已久，迟迟未维修,安全治理,抱怨,中
业主群内频繁发布广告，缺乏有效管理,民生服务,抱怨,低
物业主动组织端午节包粽子活动，增进邻里感情,文化生活,表扬,低
夜间有陌生人翻越围墙，安保巡查不到位,安全治理,抱怨,高
绿化带长期缺水，草坪大面积枯黄,环境卫生,抱怨,低
快递柜满溢，包裹堆积在地面易丢失,安全治理,抱怨,中
物业重视业主意见，不断改进服务,民生服务,表扬,低
应急演练流于形式，实际效果不佳,安全治理,抱怨,中
监控摄像头多个损坏，安全防范形同虚设,安全治理,抱怨,低
电动车在楼道充电现象屡禁不止，安全隐患大,安全治理,抱怨,高
社区图书馆书籍陈旧，更新缓慢,文化生活,抱怨,低
物业响应迅速，一天内修复了破裂的水管,民生服务,表扬,低
宠物粪便无人清理，影响环境卫生,环境卫生,抱怨,中
健身器材锈蚀严重，使用存在风险,安全治理,抱怨,中
物业定期公示收支明细，透明度高,民生服务,表扬,低
小区路灯多处损坏，夜间出行不便,安全治理,抱怨,中
社区合唱团活动时间过晚，影响周边住户休息,文化生活,抱怨,低
物业协助加装电梯，推动老旧小区改造,安全治理,表扬,中
垃圾清运不及时，垃圾桶满溢散落一地,环境卫生,抱怨,中
楼顶违章搭建影响整体美观和安全,安全治理,抱怨,高
社区志愿者定期探访独居老人，温暖人心,文化生活,表扬,低
电动车乱停放堵塞消防通道,安全治理,抱怨,高
物业组织消防演练，居民参与度高,安全治理,表扬,低
儿童滑梯螺丝松动，存在脱落风险,安全治理,抱怨,中
垃圾分类准确率低，指导员缺乏专业培训,环境卫生,抱怨,中
物业设立"民情信箱"，认真听取居民建议,民生服务,表扬,低
小区内流浪猫狗增多，存在卫生和安全风险,环境卫生,抱怨,中
文化广场音响音量过大，扰民严重,文化生活,抱怨,中
物业快速处理外墙脱落问题，避免伤人,安全治理,表扬,中
健身步道地砖松动，雨天易滑倒,安全治理,抱怨,中
物业对高空抛物行为加强宣传和监控，效果显著,安全治理,表扬,低
绿化修剪不及时，树枝遮挡低层住户采光,环境卫生,抱怨,低
社区开设暑期托管班，解决双职工家庭难题,文化生活,表扬,中
地下车库照明不足，存在安全隐患,安全治理,抱怨,中
物业联合交警整治乱停车，秩序明显改善,交通管理,表扬,中
快递驿站占用公共通道，影响通行,安全治理,抱怨,低
社区定期举办健康讲座，居民受益匪浅,文化生活,表扬,低
楼道墙面小广告泛滥，清理不及时,环境卫生,抱怨,低
物业为行动不便老人提供上门服务,民生服务,表扬,低
小区内机动车超速行驶，威胁行人安全,安全治理,抱怨,高
垃圾分类点布局不合理，距离住宅太近,环境卫生,抱怨,中
物业协助调解邻里噪音纠纷，促进和谐,民生服务,表扬,低
儿童游乐区地面硬化，摔倒易受伤,安全治理,抱怨,中
社区开展反诈宣传，提高居民防范意识,安全治理,表扬,低
电动车充电口损坏率高，使用体验差,安全治理,抱怨,中
物业在寒潮前检修供暖系统，保障温暖过冬,民生服务,表扬,中
绿化带被踩踏成小路，缺乏引导标识,环境卫生,抱怨,低
社区举办邻里节，拉近居民距离,文化生活,表扬,低
楼道感应灯常坏，夜间摸黑上下楼,安全治理,抱怨,中
物业建立快速响应机制，报修30分钟内到场,民生服务,表扬,高
小区内施工噪音持续到深夜，影响休息,民生服务,抱怨,高
电梯频繁故障，多次困人，维修不及时,安全治理,抱怨,高
社区组织义务植树活动，美化环境,环境卫生,表扬,低
门禁系统失灵，陌生人随意进出,安全治理,抱怨,高
物业及时清理积雪，保障冬季出行安全,环境卫生,表扬,中
地下车库通风不畅，空气污浊,安全治理,抱怨,中
社区文艺汇演节目精彩，居民反响热烈,文化生活,表扬,低
楼道消防栓被杂物遮挡，紧急时无法使用,安全治理,抱怨,高
物业定期清洗外墙，保持小区整洁美观,环境卫生,表扬,低
健身器材区域照明不足，晚间无法使用,安全治理,抱怨,中
社区开展法律咨询活动，解决居民法律问题,文化生活,表扬,低
小区内烧烤摊油烟扰民，影响空气质量,环境卫生,抱怨,中
物业及时修复破损围栏，消除安全隐患,安全治理,表扬,中
儿童游乐场沙坑混入杂物，存在危险,安全治理,抱怨,中
社区组织老年人智能手机培训，很实用,文化生活,表扬,低
垃圾分类督导员态度恶劣，缺乏耐心,环境卫生,抱怨,中
物业协调解决停车位纠纷，公平公正,交通管理,表扬,低
楼道内电动车充电屡禁不止，火灾风险高,安全治理,抱怨,高
社区图书馆环境安静整洁，学习氛围好,文化生活,表扬,低
小区绿化病虫害严重，树木枯死,环境卫生,抱怨,中
物业及时更换老旧电线，消除用电隐患,安全治理,表扬,中
广场舞音乐音量过大，影响居民休息,文化生活,抱怨,中
物业建立业主微信群，沟通更便捷,民生服务,表扬,低
地下车库地面湿滑，多次发生摔倒事故,安全治理,抱怨,中
社区开展急救知识培训，提高自救能力,文化生活,表扬,低
垃圾清运车凌晨作业，噪音扰民,环境卫生,抱怨,中
物业协助安装充电桩，方便电动车用户,安全治理,表扬,中
小区内养犬不牵绳，存在安全隐患,安全治理,抱怨,中
社区组织观看红色电影，弘扬正能量,文化生活,表扬,低
楼道应急灯不亮，停电时很危险,安全治理,抱怨,中
物业定期消杀蚊虫，夏季蚊虫明显减少,环境卫生,表扬,低
小区内商铺占道经营，影响通行,安全治理,抱怨,中
社区开设四点半课堂，解决家长后顾之忧,文化生活,表扬,中
电梯内广告过多，影响乘坐体验,民生服务,抱怨,低
物业及时清理化粪池，消除异味,环境卫生,表扬,低
儿童游乐设施安全警示标识缺失,安全治理,抱怨,低
